# y+ ()       
# Time        	patch         	min           	max           	average       
10000         	outerWall	2.830234e+01	2.839999e+01	2.835268e+01
10000         	stirrerWall	2.000155e-04	1.070733e+01	4.549382e-01
11000         	outerWall	2.784432e+01	2.794297e+01	2.789407e+01
11000         	stirrerWall	3.283343e-04	1.246856e+01	6.449404e-01
12000         	outerWall	2.742377e+01	2.752348e+01	2.747419e+01
12000         	stirrerWall	5.798017e-04	1.412643e+01	8.445483e-01
13000         	outerWall	2.703645e+01	2.713693e+01	2.708686e+01
13000         	stirrerWall	9.783033e-04	1.567910e+01	1.051284e+00
14000         	outerWall	2.667541e+01	2.677668e+01	2.672596e+01
14000         	stirrerWall	1.273765e-03	1.712455e+01	1.267583e+00
15000         	outerWall	2.633659e+01	2.643855e+01	2.638729e+01
15000         	stirrerWall	1.652164e-03	1.849418e+01	1.491920e+00
16000         	outerWall	2.601677e+01	2.611936e+01	2.606753e+01
16000         	stirrerWall	2.066606e-03	1.981988e+01	1.726723e+00
17000         	outerWall	2.571313e+01	2.581630e+01	2.576393e+01
17000         	stirrerWall	2.528947e-03	2.111695e+01	1.977376e+00
18000         	outerWall	2.542345e+01	2.552714e+01	2.547425e+01
18000         	stirrerWall	3.004801e-03	2.239036e+01	2.246663e+00
19000         	outerWall	2.514589e+01	2.525009e+01	2.519667e+01
19000         	stirrerWall	3.470470e-03	2.363276e+01	2.509297e+00
20000         	outerWall	2.487888e+01	2.498355e+01	2.492961e+01
20000         	stirrerWall	3.867604e-03	2.481076e+01	2.710681e+00
21000         	outerWall	2.462099e+01	2.472612e+01	2.467169e+01
21000         	stirrerWall	4.169999e-03	2.589068e+01	2.897685e+00
22000         	outerWall	2.437108e+01	2.447662e+01	2.442173e+01
22000         	stirrerWall	4.416894e-03	2.686538e+01	3.065690e+00
23000         	outerWall	2.412811e+01	2.423404e+01	2.417869e+01
23000         	stirrerWall	4.472824e-03	2.774590e+01	3.229694e+00
24000         	outerWall	2.389129e+01	2.399757e+01	2.394177e+01
24000         	stirrerWall	4.358492e-03	2.853988e+01	3.370620e+00
25000         	outerWall	2.365997e+01	2.376659e+01	2.371036e+01
25000         	stirrerWall	4.305475e-03	2.926513e+01	3.495574e+00
26000         	outerWall	2.343369e+01	2.354061e+01	2.348398e+01
26000         	stirrerWall	4.295755e-03	2.992753e+01	3.648146e+00
27000         	outerWall	2.321209e+01	2.331929e+01	2.326227e+01
27000         	stirrerWall	4.327769e-03	3.053324e+01	3.754993e+00
28000         	outerWall	2.299452e+01	2.310236e+01	2.304497e+01
28000         	stirrerWall	4.400746e-03	3.109257e+01	3.856602e+00
29000         	outerWall	2.278106e+01	2.288966e+01	2.283189e+01
29000         	stirrerWall	4.511598e-03	3.161245e+01	3.959384e+00
30000         	outerWall	2.257176e+01	2.268112e+01	2.262296e+01
30000         	stirrerWall	4.656366e-03	3.210944e+01	4.048418e+00
