# y+ ()       
# Time        	patch         	min           	max           	average       
0             	outerWall	6.757876e-01	6.765470e-01	6.759653e-01
0             	stirrerWall	5.174087e-01	1.291502e+00	8.056672e-01
1000          	outerWall	1.099194e+01	1.490346e+01	1.232217e+01
1000          	stirrerWall	1.333910e-04	2.088487e-01	1.685919e-02
2000          	outerWall	1.173280e+01	1.196026e+01	1.186162e+01
2000          	stirrerWall	1.448314e-04	2.028244e-01	1.480609e-02
3000          	outerWall	1.696476e+01	1.707678e+01	1.701657e+01
3000          	stirrerWall	1.432299e-04	2.102231e-01	1.542179e-02
4000          	outerWall	2.479076e+01	2.491108e+01	2.485477e+01
4000          	stirrerWall	1.169776e-04	1.361056e+00	3.225602e-02
5000          	outerWall	3.215644e+01	3.226255e+01	3.220336e+01
5000          	stirrerWall	1.188304e-04	1.787594e+00	4.622830e-02
6000          	outerWall	3.085239e+01	3.094059e+01	3.090009e+01
6000          	stirrerWall	1.064211e-04	2.457098e+00	6.565272e-02
7000          	outerWall	3.006614e+01	3.015857e+01	3.011425e+01
7000          	stirrerWall	4.753301e-05	3.546587e+00	1.075302e-01
8000          	outerWall	2.938851e+01	2.948330e+01	2.943993e+01
8000          	stirrerWall	4.014597e-05	5.303533e+00	1.787716e-01
9000          	outerWall	2.881393e+01	2.891010e+01	2.886279e+01
9000          	stirrerWall	9.981231e-05	7.786600e+00	2.920794e-01
10000         	outerWall	2.830230e+01	2.840000e+01	2.835268e+01
10000         	stirrerWall	2.000157e-04	1.070732e+01	4.549381e-01
