# y+ ()       
# Time        	patch         	min           	max           	average       
70000         	stirrerWall	7.938852e-03	4.409749e+01	6.590537e+00
71000         	outerWall	1.747259e+01	1.759835e+01	1.753021e+01
71000         	stirrerWall	7.996231e-03	4.425224e+01	6.597884e+00
72000         	outerWall	1.741194e+01	1.753787e+01	1.746961e+01
72000         	stirrerWall	8.053779e-03	4.439902e+01	6.651914e+00
73000         	outerWall	1.735285e+01	1.747894e+01	1.741057e+01
73000         	stirrerWall	8.109686e-03	4.454325e+01	6.689885e+00
74000         	outerWall	1.729529e+01	1.742155e+01	1.735305e+01
74000         	stirrerWall	8.147584e-03	4.468987e+01	6.682193e+00
75000         	outerWall	1.723920e+01	1.736561e+01	1.729701e+01
75000         	stirrerWall	8.198961e-03	4.483468e+01	6.737265e+00
76000         	outerWall	1.718455e+01	1.731111e+01	1.724239e+01
76000         	stirrerWall	8.225538e-03	4.497397e+01	6.758781e+00
77000         	outerWall	1.713127e+01	1.725797e+01	1.718915e+01
77000         	stirrerWall	8.280451e-03	4.511137e+01	6.776292e+00
78000         	outerWall	1.707935e+01	1.720619e+01	1.713727e+01
78000         	stirrerWall	8.332037e-03	4.524595e+01	6.820605e+00
79000         	outerWall	1.702879e+01	1.715576e+01	1.708673e+01
79000         	stirrerWall	8.332196e-03	4.537637e+01	6.837555e+00
80000         	outerWall	1.697952e+01	1.710663e+01	1.703750e+01
80000         	stirrerWall	8.363946e-03	4.550490e+01	6.834176e+00
